species,country,in_degree,out_degree,total_degree,in_strength,out_strength,total_strength,betweenness,eigen_centrality,in_degree_norm,out_degree_norm,total_degree_norm
Horses,Guyana,6,3,9,30,4,34,82.24115913486698,0.04295217932384351,0.031088082901554404,0.015544041450777202,0.023316062176165803
Horses,Cabo Verde,6,2,8,20,3,23,5.5045928002583056,0.025686379970494177,0.031088082901554404,0.010362694300518135,0.02072538860103627
Horses,Madagascar,6,2,8,14,2,16,12.43409319275847,0.026591718327364126,0.031088082901554404,0.010362694300518135,0.02072538860103627
Horses,Mauritania,7,1,8,20,2,22,0.8864468864468864,0.026952294470776347,0.03626943005181347,0.0051813471502590676,0.02072538860103627
Horses,Nepal,8,0,8,25,0,25,0,0.029323642059163293,0.04145077720207254,0,0.02072538860103627
Horses,Sudan,2,6,8,10,12,22,0,0.017816293069681445,0.010362694300518135,0.031088082901554404,0.02072538860103627
Horses,Sudan (former),4,4,8,9,6,15,44.365494478166724,0.008544686010902712,0.02072538860103627,0.02072538860103627,0.02072538860103627
Horses,Djibouti,5,2,7,11,2,13,13.28136742808923,0.010678514270533906,0.025906735751295335,0.010362694300518135,0.018134715025906734
Horses,Lao People's Democratic Republic,3,4,7,17,6,23,7.98184672388523,0.020695610163084095,0.015544041450777202,0.02072538860103627,0.018134715025906734
Horses,Sierra Leone,4,3,7,4,3,7,34.93431395361116,0.006715477677820247,0.02072538860103627,0.015544041450777202,0.018134715025906734
Horses,Suriname,7,0,7,13,0,13,0,0.025454645631348957,0.03626943005181347,0,0.018134715025906734
Horses,Bahamas,4,2,6,28,12,40,0,0.06566411803557283,0.02072538860103627,0.010362694300518135,0.015544041450777202
Horses,Burundi,6,0,6,10,0,10,0,0.005264977104921394,0.031088082901554404,0,0.015544041450777202
Horses,Fiji,4,2,6,11,2,13,180.97947037215022,0.01143491726641436,0.02072538860103627,0.010362694300518135,0.015544041450777202
Horses,French Polynesia,5,1,6,17,1,18,10.617608365556084,0.017254545680086296,0.025906735751295335,0.0051813471502590676,0.015544041450777202
Horses,Gabon,6,0,6,14,0,14,0,0.013318180011780811,0.031088082901554404,0,0.015544041450777202
Horses,Kiribati,6,0,6,6,0,6,0,0.004991362719926853,0.031088082901554404,0,0.015544041450777202
Horses,Seychelles,5,1,6,10,1,11,24.60553551888297,0.018726541295589465,0.025906735751295335,0.0051813471502590676,0.015544041450777202
Horses,Somalia,4,2,6,8,4,12,1.477170868347339,0.008134997775983347,0.02072538860103627,0.010362694300518135,0.015544041450777202
Horses,Belize,3,2,5,26,2,28,14.995704717987326,0.05397693260681134,0.015544041450777202,0.010362694300518135,0.012953367875647668
Horses,Cambodia,5,0,5,8,0,8,0,0.010877035847959236,0.025906735751295335,0,0.012953367875647668
